t[s],VfPASP_egoSpd_mps[],VfPASP_egoAcc_mpss[],VfPASP_spdLmt_kph[],VeACCSTM_AccMode_enum[],VePASP_AutoLaneChgSide[],VePASP_AutoLaneChgSts[],VbPASP_AlcLgtCtrlEnbl[],g_truncated_col[],VfPASP_ALC_path_C5[],VfPASP_ALC_path_C4[],VfPASP_ALC_path_C3[],VfPASP_ALC_path_C2[],VfPASP_ALC_path_C1[],VfPASP_ALC_path_C0[],VfPASP_StPoint0_t_s[],VfPASP_StPoint0_s_m[],VfPASP_StPoint0_v_mps[],VfPASP_StPoint0_a_mpss[],VfPASP_StPoint1_t_s[],VfPASP_StPoint1_s_m[],VfPASP_StPoint1_v_mps[],VfPASP_StPoint1_a_mpss[],VfPASP_StPoint2_t_s[],VfPASP_StPoint2_s_m[],VfPASP_StPoint2_v_mps[],VfPASP_StPoint2_a_mpss[],VfPASP_StPoint3_t_s[],VfPASP_StPoint3_s_m[],VfPASP_StPoint3_v_mps[],VfPASP_StPoint3_a_mpss[],VfPASP_StPoint4_t_s[],VfPASP_StPoint4_s_m[],VfPASP_StPoint4_v_mps[],VfPASP_StPoint4_a_mpss[],VfPASP_StPoint5_t_s[],VfPASP_StPoint5_s_m[],VfPASP_StPoint5_v_mps[],VfPASP_StPoint5_a_mpss[],VfPASP_StPointCtrl0_a_mpss[],VfPASP_StPointCtrl0_s_m[],VfPASP_StPointCtrl0_t_s[],VfPASP_StPointCtrl0_v_mps[],VeINP_IVClass[],VfINP_IVLaDis_m[],VfINP_IVLgDis_m[],VbINP_IVPresent_flg[],VfINP_IVV_mps[],VfINP_IVAcc_mpss[],VfINP_IVHeading_rad[],VeINP_RIVClass_enum[],VfINP_RIVLaDis_m[],VfINP_RIVLgDis_m[],VbINP_RIVPresent_flg[],VfINP_RIVV_mps[],VfINP_RIVLaV_mps[],VfINP_RIVHeading_rad[],VeINP_NIVLClass_enum[],VfINP_NIVLLaDis_m[],VfINP_NIVLLgDis_m[],VbINP_NIVLPresent_flg[],VfINP_NIVLV_mps[],VfINP_NIVLLaV_mps[],VfINP_NIVLHeading_rad[],VeINP_NIVRClass_enum[],VfINP_NIVRLaDis_m[],VfINP_NIVRLgDis_m[],VbINP_NIVRPresent_flg[],VfINP_NIVRV_mps[],VfINP_NIVRLaV_mps[],VfINP_NIVRHeading_rad[],VeINP_NIIVLClass_enum[],VfINP_NIIVLLaDis_m[],VfINP_NIIVLLgDis_m[],VbINP_NIIVLPresent_flg[],VfINP_NIIVLV_mps[],VfINP_NIIVLLaV_mps[],VfINP_NIIVLHeading_rad[],VeINP_NIIVRClass_enum[],VfINP_NIIVRLaDis_m[],VfINP_NIIVRLgDis_m[],VbINP_NIIVRPresent_flg[],VfINP_NIIVRV_mps[],VfINP_NIIVRLaV_mps[],VfINP_NIIVRHeading_rad[],VeINP_RIVLClass_enum[],VfINP_RIVLLaDis_m[],VfINP_RIVLLgDis_m[],VbINP_RIVLPresent_flg[],VfINP_RIVLV_mps[],VfINP_RIVLLaV_mps[],VfINP_RIVLHeading_rad[],VeINP_RIVRClass_enum[],VfINP_RIVRLaDis_m[],VfINP_RIVRLgDis_m[],VbINP_RIVRPresent_flg[],VfINP_RIVRV_mps[],VfINP_RIVRLaV_mps[],VfINP_RIVRHeading_rad[],VfINP_RIIVLLaDis_m[],VfINP_RIIVLLgDis_m[],VbINP_RIIVLPresent_flg[],VfINP_RIIVLV_mps[],VfINP_RIIVLLaV_mps[],VfINP_RIIVLHeading_rad[],VfINP_RIIVRLaDis_m[],VfINP_RIIVRLgDis_m[],VbINP_RIIVRPresent_flg[],VfINP_RIIVRV_mps[],VfINP_RIIVRLaV_mps[],VfINP_RIIVRHeading_rad[],VeLGIN_ISLCOverSpeedAlarmSts[],VfLGIN_TsrTrgtSpdReq_kph[],VeLGIN_TSI_SignShortStayMisc_1[],VeLGIN_TSI_SignShortStayMisc_2[],VeINP_TSRID0Proc[],VeINP_TSRID1Proc[],VeINP_TSRID2Proc[],VfINP_TSRSignLatDist0Proc_m[],VfINP_TSRSignLatDist1Proc_m[],VfINP_TSRSignLatDist2Proc_m[],VfINP_TSRSignLgDist0Proc_m[],VfINP_TSRSignLgDist1Proc_m[],VfINP_TSRSignLgDist2Proc_m[],VuINP_TSRSignName0Proc[],VuINP_TSRSignName1Proc[],VuINP_TSRSignName2Proc[],VfINP_LH_Line_First_C0_0[],VfINP_LH_Line_First_C0_1[],VfINP_LH_Line_First_C1_0[],VfINP_LH_Line_First_C1_1[],VfINP_LH_Line_First_C2_0[],VfINP_LH_Line_First_C2_1[],VfINP_LH_Line_First_C3_0[],VfINP_LH_Line_First_C3_1[],VfINP_LH_First_VR_End_0[],VfINP_LH_First_VR_End_1[],VfINP_LH_First_VR_Start_0[],VfINP_LH_First_VR_Start_1[],VfINP_LA_Line_C0_0[],VfINP_LA_Line_C0_1[],VfINP_LA_Line_C1_0[],VfINP_LA_Line_C1_1[],VfINP_LA_Line_C2_0[],VfINP_LA_Line_C2_1[],VfINP_LA_Line_C3_0[],VfINP_LA_Line_C3_1[],VfINP_LA_View_Range_End_0[],VfINP_LA_View_Range_End_1[],VfINP_LA_View_Range_Start_0[],VfINP_LA_View_Range_Start_1[]
0.5717762,1.649305582,0.049000934,60,2,0,1,1,5,0,0,3.30E-06,-8.61E-05,-0.006710473,-0.262038052,0,0,1.649305582,0.049000934,1,2.099999905,2.099999905,0.449999988,2,4.800000191,2.700000286,0.599999964,3,7.650000095,2.849999905,0.140000001,4,11,3.349999905,0.5,5,14.85000038,3.850000381,0.500000477,0.329700291,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.394631147,3.900777817,1,4.650166988,0.04648925,0.009996996,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-2.821480036,3.647400141,0,2.790277958,0.300000012,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.325099826,1.834023595,0.007453918,0.004000664,3.34E-05,-4.77E-06,-4.73E-07,4.43E-07,135.3800049,53.21000671,0,0,-4.631985664,0,-0.00784874,0,0.000315666,0,-2.13E-06,0,105.4899902,-200,0,-200
0.6407042,1.649305582,9.31E-07,60,2,0,1,1,5,0,0,3.09E-06,-8.20E-05,-0.007041549,-0.263005644,0,0,1.649305582,9.31E-07,1,1.75,1.75,0.099999994,2,4.200000286,2.450000286,0.699999988,3,7.650000095,3.449999809,0.98999995,4,12.10000038,4.450000286,1,5,17.55000114,5.450000763,1.000000477,0.070000276,1.225000024,0.699999988,1.719791651,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.394631386,4.15077877,1,4.650166988,0.04648925,0.009996996,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-2.889816523,3.978752613,0,2.801389217,0.25,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.329079866,1.832306147,0.007836342,0.004421234,3.34E-05,-3.81E-06,-4.50E-07,5.62E-07,133.1799927,80.57998657,0,0,-4.636217117,0,-0.007235527,0,0.000314713,0,-2.11E-06,0,104.730011,-200,0,-200
0.7060992,1.649305582,9.31E-07,60,2,0,1,1,5,0,0,3.09E-06,-8.20E-05,-0.007041549,-0.263005644,0,0,1.649305582,9.31E-07,1,1.75,1.75,0.099999994,2,4.200000286,2.450000286,0.699999988,3,7.650000095,3.449999809,0.98999995,4,12.10000038,4.450000286,1,5,17.55000114,5.450000763,1.000000477,0.070000276,1.225000024,0.699999988,1.719791651,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.394631147,4.350779533,1,4.599478722,0.09198799,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-2.889816523,3.978752613,0,2.801389217,0.25,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.328355789,1.832714558,0.007842064,0.00442028,3.34E-05,-3.81E-06,-4.50E-07,5.62E-07,133.1799927,80.57998657,0,0,-4.636882782,0,-0.007177353,0,0.000313759,0,-2.11E-06,0,104.730011,-200,0,-200
0.7723662,1.649305582,-0.029399069,60,2,0,1,1,5,0,0,2.53E-06,-7.18E-05,-0.007313024,-0.263492137,0,0,1.649305582,-0.029399069,1,1.399999976,1.399999976,-0.239999995,2,3.600000143,2.200000286,0.799999952,3,6.800000191,3.200000048,0.98999995,4,11,4.199999809,0.98999995,5,16.20000076,5.200000763,1.000000954,-0.176819712,0.979999959,0.699999988,1.474791646,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.394631386,4.550780296,1,4.699459076,0.093987562,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.036519766,4.320835114,0,2.809722662,0.159999996,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.327230096,1.830843091,0.007967949,0.004926682,3.24E-05,-3.81E-06,-4.46E-07,4.33E-07,138.7099915,111.4700012,0,0,-4.639667034,0,-0.006930351,0,0.000312805,0,-2.26E-06,0,103.9400024,-200,0,-200
0.8452792,1.649305582,0.019600932,60,2,0,1,1,5,0,0,4.39E-06,-0.000104203,-0.006896184,-0.257963002,0,0,1.649305582,0.019600932,1,2.099999905,2.099999905,0.449999988,2,4.800000191,2.700000286,0.599999964,3,8.5,3.699999809,0.98999995,4,13.20000076,4.700000763,1,5,18.89999962,5.699998856,0.999998093,0.023180291,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.394631147,4.80078125,1,4.699459076,0.093987562,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.036519766,4.320835114,0,2.809722662,0.159999996,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.322234392,1.827652335,0.008293152,0.005147934,3.24E-05,-3.81E-06,-4.99E-07,4.58E-07,138.0799866,110.9899902,0,0,-4.642570019,0,-0.007112503,0,0.000311852,0,-2.30E-06,0,103,-200,0,-200
0.9163322,1.649305582,0.019600932,60,2,0,1,1,2,0,0,4.39E-06,-0.000104203,-0.006896184,-0.257963002,0,0,1.649305582,0.019600932,1,2.099999905,2.099999905,0.449999988,2,4.800000191,2.700000286,0.599999964,3,8.5,3.699999809,0.98999995,4,13.20000076,4.700000763,1,5,18.89999962,5.699998856,0.999998093,0.023180291,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.344631195,5.050782204,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.094882965,4.671562672,0,2.820833683,0.119999997,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.321073294,1.82837677,0.008546829,0.005391121,3.24E-05,-3.81E-06,-4.99E-07,4.58E-07,138.0799866,110.9899902,0,0,-4.643537998,0,-0.006781578,0,0.000310898,0,-2.30E-06,0,103,-200,0,-200
0.9751762,1.649305582,-0.048999075,60,2,0,1,1,5,0,0,-1.99E-08,-1.37E-05,-0.00642079,-0.256439447,0,0,1.649305582,-0.048999075,1,2.099999905,2.099999905,0.449999988,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.223180294,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.344630957,5.350783348,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.143252373,4.982083321,0,2.831944704,0.090000004,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.321626902,1.830395222,0.00828743,0.00556469,3.24E-05,-2.86E-06,-5.19E-07,4.00E-07,135.1400146,110.5599976,0,0,-4.645501137,0,-0.007037163,0,0.000310898,0,-2.22E-06,0,102.1400146,-200,0,-200
1.038801834,1.649305582,0.009800931,60,2,0,1,1,5,0,0,2.24E-08,-1.43E-05,-0.006845728,-0.257967621,0,0,1.649305582,0.009800931,1,2.099999905,2.099999905,0.449999988,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.317940265,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.294630527,5.650784492,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.143252373,4.982083321,0,2.831944704,0.090000004,-0.07,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,1.979166865,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.32049191,1.831157088,0.008296013,0.005563736,3.24E-05,-2.86E-06,-5.19E-07,4.00E-07,135.1400146,110.5599976,0,0,-4.646459103,0,-0.006952286,0,0.000309944,0,-2.22E-06,0,102.1400146,-200,0,-200
1.11087514,1.649305582,0.009800931,60,2,0,1,1,1,0,0,2.24E-08,-1.43E-05,-0.006845728,-0.257967621,0,0,1.649305582,0.009800931,1,2.099999905,2.099999905,0.449999988,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.317940265,1.469999909,0.699999988,1.964791656,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.244631052,5.700784683,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.090000004,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.317616701,1.82959938,0.008480072,0.005561829,3.24E-05,-2.86E-06,-4.91E-07,4.45E-07,132.8099976,111.3500061,0,0,-4.648499966,0,-0.006587982,0,0.000309944,0,-2.23E-06,0,101.6099854,-200,0,-200
1.174664664,1.631944537,0.098000936,60,2,0,1,1,5,0,0,1.07E-07,-1.59E-05,-0.006925954,-0.259497315,0,0,1.631944537,0.098000936,1,2.099999905,2.099999905,0.459999979,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.351400256,1.469999909,0.699999988,1.959583282,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.244630814,5.850785255,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.317229152,1.829853535,0.008482933,0.005561829,3.24E-05,-2.86E-06,-4.91E-07,4.45E-07,132.8099976,111.3500061,0,0,-4.648800373,0,-0.006560326,0,0.00030899,0,-2.23E-06,0,101.6099854,-200,0,-200
1.246263212,1.631944537,9.31E-07,60,2,0,1,1,5,0,0,8.56E-08,-1.62E-05,-0.00701567,-0.260641992,0,0,1.631944537,9.31E-07,1,2.099999905,2.099999905,0.459999979,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.322000265,1.469999909,0.699999988,1.959583282,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.194630384,6.100786209,1,4.899419785,0.097986706,0.019996986,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.31379962,1.82951355,0.008171082,0.005942345,3.15E-05,-2.86E-06,-4.71E-07,4.16E-07,139.6700134,112.0299988,0,0,-4.650029659,0,-0.006316185,0,0.00030899,0,-2.24E-06,0,99.52999878,-200,0,-200
1.315832793,1.631944537,9.31E-07,60,2,0,1,1,2,0,0,8.56E-08,-1.62E-05,-0.00701567,-0.260641992,0,0,1.631944537,9.31E-07,1,2.099999905,2.099999905,0.459999979,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.322000265,1.469999909,0.699999988,1.959583282,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.194630384,6.300786972,1,4.848217487,0.145475507,0.029996976,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.312421203,1.830098033,0.008050919,0.006310463,3.15E-05,-1.91E-06,-4.67E-07,4.26E-07,136.730011,111.6300049,0,0,-4.649427891,0,-0.005584717,0,0.000307083,0,-2.42E-06,0,99.14001465,-200,0,-200
1.37602215,1.631944537,0.029400932,60,2,0,1,1,5,0,0,6.60E-08,-1.52E-05,-0.007052141,-0.261797398,0,0,1.631944537,0.029400932,1,2.099999905,2.099999905,0.459999979,2,5.400000095,3.300000191,1.199999928,3,9.350000381,3.950000286,0.649999976,4,14.30000019,4.949999809,0.98999995,5,20.25,5.949999809,1,0.330820262,1.469999909,0.699999988,1.959583282,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.194630146,6.500787735,1,4.848217487,0.145475507,0.029996976,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.311698318,1.830664515,0.008056641,0.006310463,3.15E-05,-1.91E-06,-4.67E-07,4.26E-07,136.730011,111.6300049,0,0,-4.649926662,0,-0.005529404,0,0.000306129,0,-2.42E-06,0,99.14001465,-200,0,-200
1.442751177,1.631944537,0.088200942,60,2,0,1,1,5,0,0,4.80E-08,-1.54E-05,-0.007177731,-0.263650358,0,0,1.631944537,0.088200942,1,1.75,1.75,0.109999999,2,4.800000191,3.050000191,1.299999952,3,9.350000381,4.550000191,1.5,4,15.40000057,6.050000191,1.5,5,21.60000038,6.199999809,0.149999619,0.103460282,1.225000024,0.699999988,1.714583397,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.194630623,6.600788116,1,4.848217487,0.145475507,0.029996976,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.314186811,1.831675291,0.007927895,0.006388664,3.15E-05,-1.91E-06,-4.33E-07,4.12E-07,137.0499878,111.3299866,0,0,-4.651151657,0,-0.005714417,0,0.000306129,0,-2.41E-06,0,98.82998657,-200,0,-200
1.518062834,1.631944537,0.088200942,60,2,0,1,1,2,0,0,4.80E-08,-1.54E-05,-0.007177731,-0.263650358,0,0,1.631944537,0.088200942,1,1.75,1.75,0.109999999,2,4.800000191,3.050000191,1.299999952,3,9.350000381,4.550000191,1.5,4,15.40000057,6.050000191,1.5,5,21.60000038,6.199999809,0.149999619,0.103460282,1.225000024,0.699999988,1.714583397,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.144630671,6.900789261,1,4.848217487,0.145475507,0.029996976,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.308150291,1.832394361,0.008545876,0.006496429,3.15E-05,-1.91E-06,-4.56E-07,4.36E-07,141.0700073,112.8500061,0,0,-4.652475834,0,-0.005599976,0,0.000305176,0,-2.37E-06,0,99.67999268,-200,0,-200
1.575409638,1.631944537,-0.019599071,60,2,0,1,1,5,0,0,6.02E-08,-1.59E-05,-0.007153946,-0.264264971,0,0,1.631944537,-0.019599071,1,1.75,1.75,0.109999999,2,4.800000191,3.050000191,1.299999952,3,9.350000381,4.550000191,1.5,4,15.40000057,6.050000191,1.5,5,21.60000038,6.199999809,0.149999619,0.07112027,1.225000024,0.699999988,1.714583397,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.09463048,7.050789833,1,4.846520424,0.19394955,0.039996967,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.307368994,1.832988024,0.008551598,0.006496429,3.15E-05,-1.91E-06,-4.56E-07,4.36E-07,141.0700073,112.8500061,0,0,-4.652985096,0,-0.005544662,0,0.000304222,0,-2.37E-06,0,99.67999268,-200,0,-200
1.647514928,1.631944537,0.009800931,60,2,0,1,1,5,0,0,1.19E-07,-1.72E-05,-0.007213032,-0.264267921,0,0,1.631944537,0.009800931,1,2.450000048,2.450000048,0.810000002,2,6,3.549999952,1.090000033,3,10.20000076,4.200000763,0.649999976,4,15.40000057,5.199999809,0.98999995,5,21.60000038,6.199999809,1,0.27112028,1.715000033,0.699999988,2.204583406,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.094630003,7.300790787,1,4.846520424,0.19394955,0.039996967,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.302193642,1.833969235,0.008892059,0.007162094,3.05E-05,-9.54E-07,-4.68E-07,3.99E-07,138.6300049,116,0,0,-4.654064178,0,-0.004933357,0,0.000304222,0,-2.45E-06,0,102.1199951,-200,0,-200
1.708330965,1.631944537,0.009800931,60,2,0,1,1,1,0,0,1.19E-07,-1.72E-05,-0.007213032,-0.264267921,0,0,1.631944537,0.009800931,1,2.450000048,2.450000048,0.810000002,2,6,3.549999952,1.090000033,3,10.20000076,4.200000763,0.649999976,4,15.40000057,5.199999809,0.98999995,5,21.60000038,6.199999809,1,0.27112028,1.715000033,0.699999988,2.204583406,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.094630241,7.50079155,1,4.846520424,0.19394955,0.039996967,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.301388502,1.834618807,0.009077072,0.007340431,3.05E-05,-9.54E-07,-4.68E-07,3.99E-07,138.6300049,116,0,0,-4.654497623,0,-0.004699707,0,0.000303268,0,-2.45E-06,0,102.1199951,-200,0,-200
1.771022048,1.631944537,0.029400932,60,2,0,1,1,5,0,0,6.08E-08,-1.59E-05,-0.007522247,-0.267922401,0,0,1.631944537,0.029400932,1,2.450000048,2.450000048,0.810000002,2,6,3.549999952,1.090000033,3,10.20000076,4.200000763,0.649999976,4,15.40000057,5.199999809,0.98999995,5,21.60000038,6.199999809,1,0.471120298,1.715000033,0.699999988,2.204583406,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.094630003,7.55079174,1,4.846520424,0.19394955,0.039996967,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,-3.153252602,5.322082996,0,2.813889027,0.079999998,-0.07,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.300895452,1.834087729,0.009018898,0.007616997,3.05E-05,-9.54E-07,-4.56E-07,3.77E-07,136.4700012,116.25,0,0,-4.655384541,0,-0.004486084,0,0.000302315,0,-2.47E-06,0,102.2999878,-200,0,-200
1.839736065,1.631944537,-0.048999075,60,2,0,1,1,5,0,0,1.70E-08,-1.44E-05,-0.008210139,-0.271934092,0,0,1.631944537,-0.048999075,1,2.450000048,2.450000048,0.810000002,2,6,3.549999952,1.090000033,3,10.20000076,4.200000763,0.649999976,4,15.40000057,5.199999809,0.98999995,5,21.60000038,6.199999809,1,0.552300274,1.715000033,0.699999988,2.204583406,0,0.005,198.5,0,0,0,0,0,0,0,0,0,0,0,1,-3.044630051,7.750792503,1,4.746600151,0.189950913,0.039996967,0,99.00499725,200,0,0,0,0,0,99,200,0,0,0,0,0,99,200,0,0,0,0,0,0,0,0,1.958333492,0,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,1.958333492,0,0,0,0,0,0,0,0,0,-32,-32,-32,-100,-100,-100,0,0,0,-1.29981184,1.833405137,0.008588791,0.007372856,3.05E-05,-9.54E-07,-4.45E-07,4.25E-07,144.2000122,114.2600098,0,0,-4.657072544,0,-0.005217552,0,0.000301361,0,-2.43E-06,0,100.3099976,-200,0,-200
